seq_id	start	end	strand	gene
Reference	18411945	18414455	+	CLM2A
Reference	18420286	18421998	+	CLM2B1
Reference	18428730	18429514	+	ψ
Reference	18433245	18434439	+	CLM2B2
Reference	18439662	18441125	+	CLM2C
CS4_h1	277150	277938	-	ψ
CS4_h1	266791	268446	-	CLM2A_null
CS4_h1	258167	258950	-	ψ
CS4_h1	253345	254539	-	CLM2B1
CS4_h1	243153	243936	-	ψ
CS4_h1	238180	240105	-	CLM2B2_null
CS4_h1	231490	232953	-	CLM2C
CS4_h2	436287	438841	+	CLM2A
CS4_h2	450539	451345	+	ψ
CS4_h2	461143	461920	+	CLM2B1_null
CS4_h2	481876	483070	+	CLM2B2
CS4_h2	488329	489792	+	CLM2C
CS5_h1	299743	301403	+	CLM2A_null
CS5_h1	310352	311129	+	ψ
CS5_h1	327662	328442	+	ψ
CS5_h1	334303	335495	+	CLM2B1
CS5_h1	344274	345051	+	ψ
CS5_h1	360310	361999	+	CLM2B2_null
CS5_h1	366183	366971	+	ψ
CS5_h1	372251	373714	+	CLM2C
CS5_h2	324423	326078	-	CLM2A_null
CS5_h2	313166	313943	-	ψ
CS5_h2	297467	299179	-	CLM2B1
CS5_h2	287933	288716	-	ψ
CS5_h2	279787	280570	-	ψ
CS5_h2	274837	276031	-	CLM2B2
CS5_h2	267127	267915	-	ψ
CS5_h2	260422	261885	-	CLM2C
